API,API_8
4212737523,12737523
4212332734,12332734
4243930575,43930575
4231745580,31745580
4243937077,43937077
4213543492,13543492
4236538818,36538818
4249734515,49734515
4231744925,31744925
4224130690,24130690
4225531819,25531819
4200348753,00348753
4250137162,50137162
4247941983,47941983
4236733694,36733694
4237531814,37531814
4243935610,43935610
4248134957,48134957
4239331529,39331529
4217337286,17337286
4243932371,43932371
4231744351,31744351
4228732738,28732738
4201334752,01334752
4236538373,36538373
4217337952,17337952
4225131540,25131540
4235733688,35733688
4231135934,31135934
4242332034,42332034
4243935788,43935788
4238939723,38939723
4238939986,38939986
4231742415,31742415
4228533610,28533610
4228336120,28336120
4243936087,43936087
4212737868,12737868
4246142586,46142586
4228332352,28332352
4217732437,17732437
4222740103,22740103
4222739536,22739536
4243932242,43932242
4222742446,22742446
4243932019,43932019
4200348652,00348652
4212736248,12736248
4231742658,31742658
4231745294,31745294
4232939231,32939231
4243932750,43932750
4238934752,38934752
4232940823,32940823
4232943004,32943004
4247944375,47944375
4231134929,31134929
4243933428,43933428
4243933208,43933208
4249533888,49533888
4249737332,49737332
4250535823,50535823
4231739268,31739268
4247538261,47538261
4246141656,46141656
4212736838,12736838
4246142200,46142200
4212132430,12132430
4220334967,20334967
4231740517,31740517
4238341604,38341604
4249736043,49736043
4212736211,12736211
4232936694,32936694
4248331987,48331987
4222738661,22738661
4230135059,30135059
4212333779,12333779
4225535746,25535746
4225531891,25531891
4247938134,47938134
4222741342,22741342
4248332434,48332434
4238934323,38934323
4232946328,32946328
4231740794,31740794
4223739829,23739829
4228532797,28532797
4249737177,49737177
4222740428,22740428
4247944492,47944492
4238338172,38338172
4239332698,39332698
4217732540,17732540
4231738560,31738560
4212332743,12332743
4243930568,43930568
4247536075,47536075
4247538727,47538727
4225533374,25533374
4236735226,36735226
4247538150,47538150
4243936217,43936217
4236537316,36537316
4238940149,38940149
4212734954,12734954
4247944164,47944164
4229533701,29533701
4232930999,32930999
4243537129,43537129
4243935096,43935096
4231745277,31745277
4222736847,22736847
4233734653,33734653
4243937104,43937104
4231739228,31739228
4230136550,30136550
4250535791,50535791
4238337894,38337894
4238935503,38935503
4238937391,38937391
4249932160,49932160
424794157001,4794157001
4231735076,31735076
4217334463,17334463
4225537035,25537035
4232940337,32940337
4210932544,10932544
4212133554,12133554
4228931804,28931804
4212332320,12332320
4231744101,31744101
4238941112,38941112
4240135164,40135164
4225532285,25532285
4229132857,29132857
4225538027,25538027
4222740669,22740669
4249737049,49737049
4238339789,38339789
4242332071,42332071
4238335908,38335908
4238938401,38938401
4238938840,38938840
4231531052,31531052
4225133538,25133538
4218331663,18331663
4222131650,22131650
4230131588,30131588
4232941418,32941418
4232942907,32942907
4222740243,22740243
4230132832,30132832
4231136112,31136112
4225531727,25531727
4231737874,31737874
4228732759,28732759
4243934606,43934606
4250534865,50534865
4225532397,25532397
4232943924,32943924
4230133857,30133857
4218331668,18331668
4225533280,25533280
4239532039,39532039
4241534995,41534995
4212738673,12738673
4249737342,49737342
4232941662,32941662
4247941408,47941408
4247730882,47730882
4238338317,38338317
4212332503,12332503
4225536717,25536717
4212334584,12334584
4247538143,47538143
4230136659,30136659
4238938002,38938002
4211730116,11730116
4214331360,14331360
4222736770,22736770
4222738982,22738982
4216333491,16333491
4221134041,21134041
4230131531,30131531
